project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
spiderfoot,90.5930%,89.6433%,0.2537%,0.7485%,81.3906%,66.5981%,0.2504%,0.6108%,49.6933%,30.2469%,0.2880%,0.5227%,8.5890%,15.0892%,0.0575%,0.3010%,2.8630%,11.3855%,0.0196%,0.2322%,2.0450%,9.0535%,0.0143%,0.1881%,2.0450%,7.2702%,0.0145%,0.1532%,2.0450%,5.7613%,0.0147%,0.1232%,2.0450%,3.7723%,0.0148%,0.0814%,1.8405%,3.0178%,0.0136%,0.0666%,1.8405%,2.8121%,0.0140%,0.0637%,1.8405%,2.4005%,0.0147%,0.0573%,1.8405%,1.9204%,0.0159%,0.0496%,1.4315%,1.7833%,0.0160%,0.0594%,1.4315%,1.7147%,0.0335%,0.1196%,1.4315%,1.5089%,0.0698%,0.2194%,1.4315%,1.3717%,0.1120%,0.3201%,1.4315%,1.1660%,0.1853%,0.4500%,1.4315%,1.0288%,0.3017%,0.6466%,1.4315%,1.0288%,0.4587%,0.9830%
spyder,65.0499%,61.6378%,3.5688%,4.8669%,36.5820%,35.6535%,6.0668%,8.5100%,24.7053%,24.9134%,8.3615%,12.1356%,17.2257%,18.1102%,10.6383%,16.0974%,12.3753%,13.8898%,12.2531%,19.7935%,9.2022%,10.8661%,13.4082%,22.7873%,6.9356%,8.4409%,14.6552%,25.6705%,5.3490%,6.7402%,15.6085%,28.3069%,4.4424%,5.7008%,17.2535%,31.8662%,3.4905%,4.6929%,17.6606%,34.1743%,2.7652%,3.8740%,17.7326%,35.7558%,2.3572%,3.4016%,18.0556%,37.5000%,1.9946%,2.8661%,19.2982%,39.9123%,1.8586%,2.6772%,20.5000%,42.5000%,1.5413%,2.3622%,20.9877%,46.2963%,1.3599%,2.0472%,21.4286%,46.4286%,1.0879%,1.8268%,19.6721%,47.5410%,0.9973%,1.7008%,20.0000%,49.0909%,0.9066%,1.5748%,20.0000%,50.0000%,0.8613%,1.4803%,19.7917%,48.9583%
sqlalchemy,94.0374%,90.5819%,1.8118%,2.4627%,89.4896%,86.0161%,2.0642%,2.7997%,80.7731%,75.6132%,2.7991%,3.6974%,71.9303%,66.3205%,3.4268%,4.4584%,64.4517%,58.9973%,3.9270%,5.0724%,57.4027%,52.5873%,4.2238%,5.4601%,51.8444%,47.2874%,4.4400%,5.7145%,48.0798%,43.7243%,4.5988%,5.9014%,44.9469%,40.6088%,4.7815%,6.0958%,41.6877%,37.6365%,5.0042%,6.3751%,39.1107%,35.3447%,5.1880%,6.6157%,37.0642%,33.3572%,5.3784%,6.8302%,35.1945%,31.6204%,5.8168%,7.3743%,32.8954%,29.4897%,6.4938%,8.2145%,30.7731%,27.5918%,7.2319%,9.1497%,28.7014%,25.7833%,8.0969%,10.2637%,26.8570%,24.1361%,9.1088%,11.5510%,24.9116%,22.3456%,10.2708%,13.0000%,23.0419%,20.7341%,11.6356%,14.7742%,20.9449%,18.9794%,12.9450%,16.5522%
sqlmap,98.0718%,96.3083%,1.1269%,1.2844%,94.8581%,93.1241%,1.2059%,1.3741%,81.6283%,80.7107%,1.7383%,1.9949%,68.4521%,68.6202%,1.6177%,1.8823%,67.4879%,65.2054%,1.6951%,1.9009%,65.1312%,61.7905%,1.6947%,1.8661%,62.7209%,59.4370%,1.7209%,1.8929%,61.7568%,58.5602%,1.7336%,1.9080%,60.6320%,57.5911%,1.7902%,1.9736%,59.1323%,56.2990%,1.8775%,2.0748%,57.9004%,55.1915%,1.9462%,2.1532%,56.7756%,54.1301%,2.0161%,2.2311%,55.1152%,52.6073%,2.1075%,2.3348%,54.3653%,51.9151%,2.1387%,2.3705%,53.5619%,51.1767%,2.1925%,2.4315%,52.2764%,49.7923%,2.2797%,2.5203%,50.7766%,48.2234%,2.2909%,2.5253%,49.7054%,47.1158%,2.4025%,2.6433%,48.1521%,45.5930%,2.5926%,2.8492%,46.7059%,44.2547%,2.9309%,3.2233%
statsmodels,63.5664%,63.3511%,0.7467%,0.9820%,39.5791%,41.2622%,1.0918%,1.5019%,26.7255%,28.2970%,1.5251%,2.1307%,20.4571%,21.2828%,2.1535%,2.9563%,16.2480%,16.5838%,3.0252%,4.0743%,12.6047%,12.6565%,4.0124%,5.3162%,9.7986%,9.5867%,5.1794%,6.6866%,7.9203%,7.6488%,6.6414%,8.4630%,6.5173%,6.1567%,8.7645%,10.9251%,5.2953%,4.9734%,11.5385%,14.2998%,4.2317%,3.8930%,15.3783%,18.6678%,3.6207%,3.2756%,18.0180%,21.5090%,3.1681%,2.8640%,21.1480%,25.2266%,2.6024%,2.3838%,22.2008%,26.8340%,2.2630%,2.0923%,23.9234%,29.1866%,1.9235%,1.7664%,25.2976%,30.6548%,1.7425%,1.6292%,27.6978%,34.1727%,1.4936%,1.4063%,28.4483%,35.3448%,1.3804%,1.3034%,29.6117%,36.8932%,1.2446%,1.1319%,30.5556%,36.6667%
streamlink,80.4839%,79.9186%,1.2737%,1.5034%,41.0484%,44.0299%,1.3922%,1.7751%,22.7419%,24.8982%,1.6559%,2.1550%,11.1290%,12.7544%,1.6555%,2.2553%,6.1290%,6.9878%,1.8375%,2.4903%,3.7903%,4.4776%,2.5488%,3.5792%,2.7419%,3.1208%,4.4503%,6.0209%,2.0968%,2.5102%,7.9268%,11.2805%,1.2903%,1.4925%,11.4286%,15.7143%,0.6452%,0.8141%,12.9032%,19.3548%,0.5645%,0.7463%,16.6667%,26.1905%,0.3226%,0.5427%,14.2857%,28.5714%,0.3226%,0.4749%,16.6667%,29.1667%,0.3226%,0.4071%,22.2222%,33.3333%,0.2419%,0.3392%,18.7500%,31.2500%,0.2419%,0.3392%,18.7500%,31.2500%,0.2419%,0.3392%,18.7500%,31.2500%,0.1613%,0.2714%,14.2857%,28.5714%,0.1613%,0.2714%,14.2857%,28.5714%,0.1613%,0.2714%,14.2857%,28.5714%
superset,70.5977%,67.7206%,1.6436%,1.8326%,36.9144%,36.3099%,2.0974%,2.3980%,25.4847%,25.1216%,2.2582%,2.5875%,19.3053%,19.0410%,2.7794%,3.1864%,15.3473%,15.1147%,2.9123%,3.3338%,12.5202%,12.4044%,5.2189%,6.0101%,10.2181%,10.2502%,9.6198%,11.2167%,8.2795%,8.4086%,11.3260%,13.3702%,7.2294%,7.3662%,13.6641%,16.1832%,6.0985%,6.3586%,14.2453%,17.2642%,5.2908%,5.5594%,15.6325%,19.0931%,4.6850%,4.9340%,17.1091%,20.9440%,4.1599%,4.3780%,19.0741%,23.3333%,3.8368%,4.1001%,20.7424%,25.7642%,3.5541%,3.7526%,21.8905%,26.8657%,3.1906%,3.4051%,22.7011%,28.1609%,3.0695%,3.3009%,24.0506%,30.0633%,2.6252%,2.8145%,23.5507%,29.3478%,2.4233%,2.6060%,24.7934%,30.9917%,2.3021%,2.4322%,25.6757%,31.5315%
supervisor,98.4694%,96.9231%,5.3522%,6.9884%,86.2245%,84.6154%,6.5050%,8.4681%,70.4082%,69.2308%,10.2374%,13.3531%,54.0816%,54.2308%,15.2299%,20.2586%,38.2653%,38.8462%,20.0535%,27.0053%,29.5918%,31.5385%,24.1667%,34.1667%,25.0000%,26.1538%,27.8409%,38.6364%,20.9184%,21.9231%,30.5970%,42.5373%,16.8367%,16.9231%,38.3721%,51.1628%,14.2857%,15.0000%,40.0000%,55.7143%,12.7551%,13.0769%,44.6429%,60.7143%,11.2245%,11.9231%,45.8333%,64.5833%,8.6735%,8.4615%,47.2222%,61.1111%,7.1429%,7.3077%,46.6667%,63.3333%,4.5918%,5.0000%,45.0000%,65.0000%,3.5714%,3.8462%,43.7500%,62.5000%,3.5714%,3.8462%,43.7500%,62.5000%,3.0612%,3.4615%,42.8571%,64.2857%,3.0612%,3.0769%,50.0000%,66.6667%,3.0612%,3.0769%,50.0000%,66.6667%
sympy,77.7336%,76.4091%,1.2121%,1.3440%,66.6068%,65.0227%,1.7152%,1.8888%,58.0054%,56.5227%,2.3371%,2.5690%,50.4807%,49.1818%,3.0546%,3.3571%,44.1866%,43.0682%,3.8963%,4.2840%,38.7002%,37.7045%,4.9440%,5.4336%,34.3418%,33.4432%,6.2198%,6.8327%,30.5345%,29.7045%,7.5720%,8.3095%,26.8427%,26.0455%,8.9541%,9.8007%,23.9328%,23.1250%,10.5827%,11.5350%,21.2024%,20.5227%,12.1761%,13.2951%,19.0232%,18.3750%,13.9579%,15.2088%,17.3055%,16.6818%,15.7379%,17.1135%,15.7544%,15.1705%,17.3245%,18.8187%,14.5110%,13.9432%,19.1087%,20.7124%,13.3060%,12.7727%,20.6773%,22.3904%,12.1779%,11.6364%,22.5975%,24.3578%,11.2421%,10.7386%,24.3882%,26.2792%,10.3705%,9.9318%,25.8137%,27.8877%,9.8833%,9.4545%,27.9550%,30.1668%
synapse,84.1286%,83.8638%,0.9224%,1.1574%,68.0531%,68.0316%,1.6064%,2.0214%,54.3506%,54.2064%,2.4975%,3.1353%,44.0674%,43.2800%,3.6836%,4.5538%,35.9020%,34.9889%,5.0004%,6.1341%,28.8339%,27.8330%,6.5242%,7.9273%,22.8119%,21.6298%,7.9509%,9.4895%,17.6320%,16.6633%,9.1596%,10.8961%,14.6211%,13.8455%,10.7063%,12.7616%,12.0694%,11.4940%,11.9444%,14.3182%,9.6708%,9.1425%,13.0062%,15.4770%,8.0888%,7.6424%,14.1140%,16.7854%,6.7619%,6.3045%,15.0739%,17.6906%,6.0219%,5.6355%,16.3209%,19.2254%,5.1544%,4.7841%,16.6667%,19.4719%,4.5675%,4.2165%,17.0802%,19.8473%,4.0572%,3.7503%,17.8251%,20.7399%,3.5468%,3.3043%,18.3377%,21.5040%,3.0365%,2.7569%,17.9217%,20.4819%,2.6282%,2.3718%,18.0070%,20.4545%
sync-engine,80.8300%,70.3431%,1.9142%,2.2387%,47.5626%,38.7745%,6.1093%,6.6932%,37.6812%,30.4902%,9.0107%,9.7984%,28.8538%,23.4314%,10.3399%,11.2842%,23.7154%,19.2157%,12.7479%,13.8810%,18.7747%,15.2941%,15.1919%,16.6311%,15.6126%,12.8922%,16.4355%,18.2386%,11.9895%,9.9510%,18.5714%,20.7143%,10.2108%,8.4314%,20.5026%,22.7513%,9.2227%,7.5980%,22.2930%,24.6815%,7.7734%,6.3235%,23.7903%,26.0081%,6.7194%,5.5392%,26.0204%,28.8265%,5.9289%,4.8529%,26.9461%,29.6407%,5.2042%,4.2157%,28.4173%,30.9353%,4.7431%,3.8725%,30.2521%,33.1933%,3.8208%,3.0882%,30.8511%,33.5106%,3.4914%,2.8431%,31.5476%,34.5238%,3.2279%,2.6471%,33.1081%,36.4865%,2.7668%,2.3039%,34.4262%,38.5246%,2.3057%,1.9608%,33.6538%,38.4615%
taiga-back,98.6928%,97.8765%,0.6077%,0.7156%,97.9458%,97.1687%,0.6340%,0.7467%,96.8721%,96.1070%,0.6788%,0.7995%,90.6629%,90.0118%,0.7492%,0.8831%,75.0233%,75.1081%,0.9652%,1.1472%,66.3399%,67.4007%,0.8965%,1.0813%,58.3567%,59.2607%,1.0255%,1.2364%,52.6144%,53.5195%,0.9843%,1.1887%,48.8329%,49.1939%,1.2062%,1.4426%,45.2848%,45.1435%,1.3611%,1.6109%,34.9673%,34.5655%,3.5387%,4.1529%,25.9104%,25.3637%,6.1571%,7.1555%,17.9272%,17.5383%,8.5906%,9.9776%,11.7647%,11.5218%,9.7297%,11.3127%,8.3100%,8.1007%,10.7618%,12.4547%,6.2092%,6.1345%,12.0036%,14.0794%,4.4351%,4.3256%,11.9347%,13.8191%,3.6881%,3.5391%,13.0795%,14.9007%,2.8011%,2.6740%,13.3333%,15.1111%,2.5210%,2.4381%,14.2857%,16.4021%
Telethon,74.4444%,67.8917%,7.2550%,9.5019%,51.9444%,47.0019%,12.0335%,15.6371%,32.7778%,31.3346%,13.2584%,18.2022%,23.8889%,22.8240%,14.4781%,19.8653%,19.7222%,18.3752%,15.3017%,20.4741%,16.3889%,15.8607%,15.2062%,21.1340%,10.5556%,11.2186%,12.4183%,18.9542%,8.8889%,9.6712%,13.6752%,21.3675%,6.9444%,7.3501%,14.0449%,21.3483%,5.5556%,5.9961%,14.0845%,21.8310%,4.1667%,5.0290%,12.0968%,20.9677%,2.7778%,3.8685%,10.4167%,20.8333%,2.5000%,3.6750%,11.5385%,24.3590%,1.3889%,2.3211%,9.6154%,23.0769%,1.3889%,2.1277%,10.8696%,23.9130%,1.1111%,1.7408%,10.0000%,22.5000%,1.1111%,1.7408%,11.7647%,26.4706%,0.8333%,1.5474%,10.7143%,28.5714%,0.8333%,0.9671%,13.6364%,22.7273%,0.8333%,0.9671%,15.0000%,25.0000%
tensor2tensor,100.0000%,100.0000%,0.7645%,0.8604%,97.4277%,97.0857%,0.7868%,0.8824%,92.9904%,91.8286%,0.9065%,1.0074%,80.9646%,77.2571%,1.2228%,1.3132%,67.9100%,63.6571%,2.2277%,2.3500%,57.5563%,54.0000%,2.6591%,2.8077%,46.5595%,43.6571%,3.3599%,3.5456%,37.7492%,34.9714%,5.6065%,5.8453%,30.9968%,28.5714%,7.3678%,7.6429%,25.8521%,23.7714%,8.6900%,8.9927%,21.2219%,19.5429%,11.8110%,12.2405%,17.2990%,15.8857%,14.3850%,14.8663%,14.2765%,13.0286%,16.7169%,17.1687%,11.8971%,10.8571%,18.8776%,19.3878%,10.6752%,9.7143%,22.1925%,22.7273%,8.8746%,8.1143%,23.6301%,24.3151%,7.6527%,7.0286%,26.0965%,26.9737%,6.6881%,6.1714%,27.6596%,28.7234%,5.9164%,5.4857%,31.5068%,32.8767%,5.1447%,4.8000%,31.2500%,32.8125%
tensorboardX,56.0748%,50.3876%,4.1152%,4.4582%,34.5794%,31.0078%,7.1984%,7.7821%,14.9533%,13.1783%,11.4286%,12.1429%,12.1495%,10.8527%,16.6667%,17.9487%,8.4112%,7.7519%,18.0000%,20.0000%,7.4766%,6.9767%,23.5294%,26.4706%,6.5421%,5.4264%,35.0000%,35.0000%,4.6729%,3.8760%,35.7143%,35.7143%,3.7383%,3.1008%,40.0000%,40.0000%,2.8037%,2.3256%,50.0000%,50.0000%,2.8037%,2.3256%,50.0000%,50.0000%,2.8037%,2.3256%,50.0000%,50.0000%,2.8037%,2.3256%,50.0000%,50.0000%,1.8692%,1.5504%,50.0000%,50.0000%,0.9346%,0.7752%,50.0000%,50.0000%,0.9346%,0.7752%,50.0000%,50.0000%,0.9346%,0.7752%,50.0000%,50.0000%,0.9346%,0.7752%,50.0000%,50.0000%,0.9346%,0.7752%,50.0000%,50.0000%,0.9346%,0.7752%,50.0000%,50.0000%
tensorlayer,78.6996%,78.6822%,0.9017%,1.0430%,64.3498%,63.5659%,1.2523%,1.4312%,48.2063%,48.0620%,1.3745%,1.5855%,42.6009%,42.6357%,1.4368%,1.6636%,38.1166%,38.3721%,1.5897%,1.8515%,29.3722%,28.8760%,2.0285%,2.3072%,24.6637%,23.0620%,2.5287%,2.7356%,22.1973%,20.5426%,3.0631%,3.2797%,19.5067%,17.8295%,3.2175%,3.4024%,14.7982%,13.1783%,2.7942%,2.8789%,12.3318%,10.8527%,2.6190%,2.6667%,10.7623%,9.4961%,2.6608%,2.7162%,9.8655%,8.7209%,2.7534%,2.8160%,9.1928%,8.1395%,3.2488%,3.3281%,9.1928%,8.1395%,4.0755%,4.1750%,8.2960%,7.3643%,4.4903%,4.6117%,6.5022%,5.8140%,3.9835%,4.1209%,5.1570%,4.6512%,3.6392%,3.7975%,4.0359%,3.6822%,3.3835%,3.5714%,3.5874%,3.2946%,3.8095%,4.0476%
tensorpack,87.8914%,88.0597%,2.2339%,2.6610%,70.7724%,71.2906%,3.0227%,3.6202%,55.3236%,55.1361%,4.0807%,4.8352%,43.6326%,43.2836%,5.0864%,5.9990%,33.9248%,33.5382%,5.7038%,6.7041%,25.7829%,25.3731%,6.1412%,7.1855%,21.5031%,21.3345%,7.1034%,8.3793%,17.8497%,17.2959%,8.2929%,9.5538%,14.3006%,13.7840%,9.0369%,10.3562%,11.0647%,10.5356%,9.5495%,10.8108%,8.4551%,7.8139%,9.7590%,10.7229%,6.9937%,6.5847%,10.2761%,11.5031%,5.6367%,5.2678%,10.7570%,11.9522%,4.6973%,4.3020%,11.3636%,12.3737%,4.3841%,4.0386%,12.2807%,13.4503%,3.2359%,2.9851%,11.5672%,12.6866%,2.8184%,2.6339%,12.1622%,13.5135%,2.6096%,2.4583%,12.8866%,14.4330%,2.0877%,2.0193%,12.8205%,14.7436%,1.8789%,1.8437%,14.2857%,16.6667%
textual,84.0637%,84.3206%,9.8231%,11.2663%,68.9243%,68.6411%,14.0650%,16.0163%,55.3785%,55.0523%,17.8205%,20.2564%,47.4104%,46.6899%,21.6364%,24.3636%,41.8327%,40.7666%,24.5327%,27.3364%,34.2629%,33.4495%,27.2152%,30.3797%,29.8805%,28.9199%,29.5276%,32.6772%,25.8964%,24.7387%,32.8283%,35.8586%,22.3108%,21.6028%,34.5679%,38.2716%,19.5219%,18.4669%,35.5072%,38.4058%,17.5299%,16.3763%,36.0656%,38.5246%,15.5378%,14.6341%,40.6250%,43.7500%,13.9442%,12.8920%,44.8718%,47.4359%,11.9522%,10.8014%,46.8750%,48.4375%,11.5538%,10.4530%,46.7742%,48.3871%,9.5618%,8.7108%,48.0000%,50.0000%,9.5618%,8.7108%,48.0000%,50.0000%,8.7649%,8.0139%,52.3810%,54.7619%,8.3665%,7.6655%,52.5000%,55.0000%,7.5697%,6.9686%,55.8824%,58.8235%
Theano,86.2718%,84.7612%,2.2106%,2.6307%,67.1258%,66.1486%,4.1619%,4.9675%,51.5611%,50.9856%,6.2556%,7.4922%,41.8274%,41.6224%,8.5588%,10.3157%,34.5271%,34.6475%,10.7245%,13.0348%,29.3388%,29.3783%,13.2189%,16.0323%,24.7934%,24.7536%,15.2198%,18.4047%,20.2479%,20.2047%,17.0008%,20.5474%,17.9982%,18.0440%,18.9922%,23.0620%,15.9320%,15.9591%,20.9288%,25.3920%,14.1414%,14.2153%,22.9851%,27.9851%,12.4885%,12.5095%,25.1852%,30.5556%,11.2029%,11.3343%,26.8722%,32.9295%,9.9174%,10.1592%,27.4809%,34.0967%,8.7236%,8.9841%,28.0236%,34.9558%,7.6676%,7.7710%,29.1958%,35.8392%,6.8411%,7.0887%,29.3307%,36.8110%,6.2443%,6.4443%,30.0885%,37.6106%,5.4178%,5.6482%,29.9492%,37.8173%,4.9587%,5.1933%,29.5082%,37.4317%
thefuck,74.4382%,72.0178%,0.8375%,1.0208%,42.4157%,38.5730%,1.5617%,1.7892%,25.4213%,21.9621%,4.7013%,5.1169%,15.8708%,13.7124%,9.1572%,9.9676%,9.4101%,8.2497%,11.7133%,12.9371%,6.1798%,5.4627%,16.0584%,17.8832%,3.9326%,3.4560%,20.5882%,22.7941%,3.0899%,2.6756%,23.9130%,26.0870%,2.1067%,1.8952%,26.7857%,30.3571%,1.8258%,1.6722%,27.0833%,31.2500%,1.1236%,1.1148%,22.2222%,27.7778%,0.9831%,0.8919%,26.9231%,30.7692%,0.7022%,0.6689%,22.7273%,27.2727%,0.7022%,0.6689%,31.2500%,37.5000%,0.7022%,0.6689%,31.2500%,37.5000%,0.7022%,0.6689%,31.2500%,37.5000%,0.5618%,0.5574%,33.3333%,41.6667%,0.5618%,0.5574%,33.3333%,41.6667%,0.2809%,0.2230%,33.3333%,33.3333%,0.2809%,0.2230%,33.3333%,33.3333%
theHarvester,90.1408%,90.2098%,8.2902%,8.3549%,73.9437%,74.1259%,9.8870%,9.9812%,57.7465%,58.0420%,10.6771%,10.8073%,49.2958%,48.9510%,12.5000%,12.5000%,42.2535%,41.9580%,16.7598%,16.7598%,29.5775%,29.3706%,21.0000%,21.0000%,23.2394%,23.0769%,24.2647%,24.2647%,12.6761%,12.5874%,25.7143%,25.7143%,9.1549%,9.0909%,30.9524%,30.9524%,7.0423%,6.9930%,38.4615%,38.4615%,6.3380%,6.2937%,40.9091%,40.9091%,3.5211%,3.4965%,35.7143%,35.7143%,2.1127%,2.0979%,30.0000%,30.0000%,2.1127%,2.0979%,30.0000%,30.0000%,1.4085%,1.3986%,25.0000%,25.0000%,1.4085%,1.3986%,25.0000%,25.0000%,1.4085%,1.3986%,33.3333%,33.3333%,1.4085%,1.3986%,50.0000%,50.0000%,1.4085%,1.3986%,50.0000%,50.0000%,1.4085%,1.3986%,50.0000%,50.0000%
thumbor,96.6574%,97.4026%,1.1775%,1.5270%,85.7939%,87.6623%,1.5674%,2.0611%,61.2813%,63.6364%,2.5570%,3.4170%,40.3900%,43.9394%,3.9813%,5.5739%,29.8050%,32.2511%,7.0674%,9.8415%,21.1699%,22.0779%,9.0476%,12.1429%,15.3203%,15.1515%,10.3774%,13.2075%,12.5348%,11.9048%,13.0814%,15.9884%,9.4708%,9.5238%,12.8788%,16.6667%,7.5209%,6.7100%,13.9175%,15.9794%,6.6852%,5.8442%,16.6667%,18.7500%,5.5710%,4.9784%,16.6667%,19.1667%,5.2925%,4.5455%,18.6275%,20.5882%,4.1783%,3.6797%,18.7500%,21.2500%,3.8997%,3.4632%,21.2121%,24.2424%,3.3426%,2.8139%,27.2727%,29.5455%,3.0641%,2.5974%,28.9474%,31.5789%,1.9499%,1.5152%,25.0000%,25.0000%,1.9499%,1.5152%,26.9231%,26.9231%,1.9499%,1.5152%,26.9231%,26.9231%
tianshou,99.8361%,99.7442%,3.6914%,4.7278%,70.3279%,65.7289%,5.3068%,6.3582%,45.0820%,43.6061%,6.0546%,7.5077%,33.9344%,30.8184%,6.9510%,8.0927%,26.2295%,23.0179%,7.6997%,8.6622%,21.1475%,18.4143%,8.6810%,9.6904%,16.7213%,14.1944%,10.3448%,11.2576%,12.9508%,10.8696%,10.7046%,11.5176%,10.1639%,8.5678%,10.9541%,11.8375%,8.3607%,7.1611%,12.2010%,13.3971%,7.0492%,6.0102%,13.0303%,14.2424%,6.2295%,5.3708%,13.9706%,15.4412%,5.0820%,4.4757%,14.2202%,16.0550%,4.0984%,3.7084%,13.5870%,15.7609%,3.4426%,3.1969%,13.8158%,16.4474%,2.7869%,2.6854%,13.2813%,16.4063%,2.4590%,2.4297%,13.6364%,17.2727%,2.2951%,2.3018%,14.5833%,18.7500%,2.1311%,2.1739%,14.1304%,18.4783%,1.9672%,2.0460%,15.3846%,20.5128%
tinygrad,78.2609%,76.4706%,10.8761%,11.7825%,40.2174%,39.2157%,16.6667%,18.0180%,28.2609%,25.4902%,19.1176%,19.1176%,20.6522%,18.6275%,23.7500%,23.7500%,17.3913%,15.6863%,29.6296%,29.6296%,13.0435%,11.7647%,31.5789%,31.5789%,9.7826%,8.8235%,34.6154%,34.6154%,4.3478%,3.9216%,25.0000%,25.0000%,4.3478%,3.9216%,25.0000%,25.0000%,4.3478%,3.9216%,28.5714%,28.5714%,3.2609%,2.9412%,25.0000%,25.0000%,3.2609%,2.9412%,25.0000%,25.0000%,3.2609%,2.9412%,25.0000%,25.0000%,3.2609%,2.9412%,25.0000%,25.0000%,3.2609%,2.9412%,25.0000%,25.0000%,3.2609%,2.9412%,37.5000%,37.5000%,3.2609%,2.9412%,37.5000%,37.5000%,3.2609%,2.9412%,37.5000%,37.5000%,3.2609%,2.9412%,37.5000%,37.5000%,2.1739%,1.9608%,33.3333%,33.3333%
toolz,85.3659%,85.1064%,6.7308%,7.6923%,56.0976%,55.3191%,12.6374%,14.2857%,39.0244%,40.4255%,14.5455%,17.2727%,31.7073%,29.7872%,24.0741%,25.9259%,21.9512%,21.2766%,25.0000%,27.7778%,21.9512%,21.2766%,34.6154%,38.4615%,21.9512%,21.2766%,34.6154%,38.4615%,19.5122%,19.1489%,36.3636%,40.9091%,17.0732%,17.0213%,43.7500%,50.0000%,17.0732%,17.0213%,50.0000%,57.1429%,12.1951%,10.6383%,62.5000%,62.5000%,9.7561%,8.5106%,66.6667%,66.6667%,9.7561%,8.5106%,66.6667%,66.6667%,9.7561%,8.5106%,66.6667%,66.6667%,4.8780%,4.2553%,50.0000%,50.0000%,4.8780%,4.2553%,50.0000%,50.0000%,4.8780%,4.2553%,50.0000%,50.0000%,4.8780%,4.2553%,50.0000%,50.0000%,4.8780%,4.2553%,50.0000%,50.0000%,4.8780%,4.2553%,50.0000%,50.0000%
tornado,95.8763%,95.9184%,5.0778%,5.7740%,89.4330%,89.1156%,5.9418%,6.7295%,83.2474%,82.5397%,6.5945%,7.4316%,79.1237%,78.4580%,7.4696%,8.4185%,75.5155%,74.8299%,8.2303%,9.2697%,71.3918%,71.2018%,9.0346%,10.2414%,67.2680%,67.1202%,9.5604%,10.8425%,63.4021%,63.0385%,10.0081%,11.3100%,59.0206%,58.7302%,10.5530%,11.9355%,53.8660%,54.1950%,10.8402%,12.3963%,50.0000%,50.5669%,11.4252%,13.1331%,45.8763%,46.9388%,12.0108%,13.9676%,42.7835%,44.2177%,12.8682%,15.1163%,38.6598%,40.1361%,13.4650%,15.8887%,35.3093%,37.1882%,14.2116%,17.0124%,31.9588%,34.0136%,14.7268%,17.8147%,30.1546%,32.1995%,16.1157%,19.5592%,27.8351%,29.9320%,16.9279%,20.6897%,26.2887%,28.3447%,18.2143%,22.3214%,24.7423%,26.3039%,19.7531%,23.8683%
tpot,94.7368%,93.0233%,6.1962%,6.8847%,65.7895%,66.2791%,11.4679%,13.0734%,39.4737%,40.6977%,13.8889%,16.2037%,34.2105%,34.8837%,14.6067%,16.8539%,28.9474%,30.2326%,17.1875%,20.3125%,25.0000%,26.7442%,19.0000%,23.0000%,22.3684%,24.4186%,21.2500%,26.2500%,19.7368%,20.9302%,22.7273%,27.2727%,19.7368%,20.9302%,26.7857%,32.1429%,17.1053%,18.6047%,30.9524%,38.0952%,14.4737%,16.2791%,28.9474%,36.8421%,14.4737%,16.2791%,30.5556%,38.8889%,11.8421%,13.9535%,30.0000%,40.0000%,9.2105%,11.6279%,29.1667%,41.6667%,9.2105%,11.6279%,31.8182%,45.4545%,7.8947%,9.3023%,33.3333%,44.4444%,7.8947%,9.3023%,33.3333%,44.4444%,7.8947%,9.3023%,33.3333%,44.4444%,7.8947%,9.3023%,37.5000%,50.0000%,7.8947%,9.3023%,37.5000%,50.0000%
